state,party4
massachusetts,democrat
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,republican
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
new york,democrat
massachusetts,independent
massachusetts,republican
massachusetts,republican
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
vermont,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,democrat
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
new hampshire,independent
massachusetts,democrat
massachusetts,republican
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,other\no preference\dk\refused
massachusetts,republican
massachusetts,independent
massachusetts,democrat
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,republican
massachusetts,other\no preference\dk\refused
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,republican
massachusetts,republican
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,republican
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,republican
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,republican
new york,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,republican
massachusetts,democrat
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,democrat
massachusetts,independent
massachusetts,democrat
massachusetts,republican
massachusetts,independent
rhode island,republican
massachusetts,democrat
massachusetts,independent
massachusetts,other\no preference\dk\refused
massachusetts,independent
massachusetts,independent
massachusetts,independent
massachusetts,democrat
massachusetts,independent
massachusetts,independent
massachusetts,other\no preference\dk\refused
massachusetts,democrat
massachusetts,republican
massachusetts,independent
rhode island,independent
rhode island,republican
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,republican
rhode island,republican
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,democrat
rhode island,independent
rhode island,independent
rhode island,other\no preference\dk\refused
rhode island,independent
rhode island,independent
rhode island,independent
rhode island,other\no preference\dk\refused
rhode island,democrat
rhode island,democrat
rhode island,republican
rhode island,democrat
rhode island,democrat
rhode island,independent
rhode island,democrat
rhode island,republican
rhode island,independent
rhode island,independent
rhode island,republican
rhode island,republican
rhode island,republican
rhode island,independent
rhode island,republican
rhode island,independent
rhode island,independent
rhode island,independent
new hampshire,republican
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,republican
new hampshire,independent
new hampshire,republican
new hampshire,democrat
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,republican
new hampshire,democrat
new hampshire,independent
new hampshire,independent
new hampshire,republican
new hampshire,republican
new hampshire,independent
new hampshire,republican
new hampshire,independent
new hampshire,republican
new hampshire,republican
new hampshire,republican
massachusetts,other\no preference\dk\refused
new hampshire,republican
new hampshire,republican
new hampshire,republican
new hampshire,democrat
new hampshire,democrat
new hampshire,democrat
new hampshire,independent
new hampshire,democrat
new hampshire,independent
new hampshire,republican
new hampshire,independent
new hampshire,republican
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,democrat
new hampshire,democrat
new hampshire,democrat
new hampshire,other\no preference\dk\refused
new hampshire,independent
new hampshire,democrat
new hampshire,republican
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,independent
new hampshire,democrat
new hampshire,independent
new hampshire,other\no preference\dk\refused
maine,independent
maine,republican
maine,democrat
maine,republican
wisconsin,republican
maine,republican
maine,independent
maine,republican
maine,democrat
maine,independent
maine,republican
maine,democrat
maine,republican
maine,independent
maine,democrat
maine,independent
maine,republican
maine,democrat
maine,independent
maine,independent
maine,democrat
maine,independent
maine,other\no preference\dk\refused
maine,independent
maine,democrat
maine,republican
maine,republican
maine,independent
maine,independent
maine,democrat
maine,independent
maine,independent
maine,democrat
maine,democrat
maine,democrat
maine,independent
maine,democrat
maine,independent
maine,democrat
maine,independent
maine,independent
maine,democrat
maine,independent
maine,democrat
maine,democrat
maine,independent
maine,republican
maine,independent
vermont,independent
vermont,independent
vermont,republican
vermont,democrat
vermont,democrat
vermont,republican
vermont,independent
massachusetts,democrat
vermont,independent
vermont,independent
vermont,independent
vermont,independent
vermont,independent
vermont,independent
vermont,republican
vermont,democrat
ohio,other\no preference\dk\refused
vermont,independent
vermont,independent
vermont,independent
vermont,republican
vermont,republican
vermont,republican
vermont,republican
vermont,democrat
vermont,independent
vermont,democrat
vermont,independent
vermont,independent
arkansas,republican
illinois,other\no preference\dk\refused
vermont,independent
vermont,republican
vermont,independent
vermont,independent
vermont,republican
vermont,democrat
vermont,independent
vermont,independent
vermont,independent
vermont,independent
vermont,democrat
vermont,independent
vermont,other\no preference\dk\refused
connecticut,republican
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,democrat
connecticut,independent
connecticut,independent
connecticut,republican
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,democrat
connecticut,republican
connecticut,independent
connecticut,other\no preference\dk\refused
connecticut,democrat
connecticut,democrat
connecticut,independent
connecticut,republican
connecticut,democrat
connecticut,independent
connecticut,republican
connecticut,republican
connecticut,independent
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,democrat
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,republican
connecticut,independent
connecticut,other\no preference\dk\refused
connecticut,independent
connecticut,independent
connecticut,independent
connecticut,other\no preference\dk\refused
connecticut,democrat
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,republican
connecticut,democrat
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,republican
connecticut,other\no preference\dk\refused
connecticut,independent
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,other\no preference\dk\refused
connecticut,independent
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,democrat
connecticut,democrat
connecticut,republican
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,republican
connecticut,democrat
connecticut,independent
connecticut,independent
connecticut,independent
connecticut,democrat
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,democrat
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,independent
connecticut,republican
connecticut,republican
connecticut,democrat
connecticut,republican
connecticut,independent
connecticut,independent
connecticut,independent
connecticut,independent
connecticut,independent
connecticut,republican
connecticut,republican
connecticut,independent
connecticut,democrat
connecticut,democrat
connecticut,democrat
connecticut,democrat
connecticut,democrat
connecticut,independent
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,independent
connecticut,democrat
connecticut,independent
connecticut,republican
connecticut,democrat
connecticut,democrat
connecticut,republican
connecticut,independent
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
connecticut,democrat
new jersey,independent
oklahoma,independent
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,democrat
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,democrat
new jersey,republican
new jersey,independent
new jersey,other\no preference\dk\refused
new jersey,democrat
new jersey,democrat
louisiana,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,republican
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,republican
new jersey,republican
new jersey,republican
new jersey,democrat
new jersey,democrat
new jersey,democrat
new jersey,other\no preference\dk\refused
new jersey,independent
florida,democrat
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,republican
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,republican
new jersey,independent
new jersey,democrat
new jersey,republican
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,democrat
new jersey,other\no preference\dk\refused
new jersey,democrat
new jersey,democrat
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,republican
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,other\no preference\dk\refused
new jersey,democrat
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,other\no preference\dk\refused
new jersey,republican
new jersey,republican
new jersey,democrat
new jersey,independent
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,republican
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,other\no preference\dk\refused
new jersey,republican
new jersey,republican
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,other\no preference\dk\refused
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,democrat
colorado,independent
new jersey,democrat
new jersey,democrat
new jersey,republican
new jersey,independent
connecticut,democrat
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,independent
new jersey,independent
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,other\no preference\dk\refused
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,republican
new jersey,democrat
new jersey,democrat
new jersey,independent
new jersey,republican
new jersey,democrat
new jersey,independent
new jersey,independent
new jersey,democrat
new jersey,democrat
new jersey,democrat
texas,democrat
pennsylvania,independent
michigan,democrat
california,republican
new york,democrat
new york,independent
new york,democrat
new york,independent
new york,independent
new york,democrat
new york,independent
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,independent
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,other\no preference\dk\refused
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,democrat
new york,republican
new york,independent
new york,democrat
new york,other\no preference\dk\refused
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,democrat
new york,republican
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,independent
new york,republican
new york,other\no preference\dk\refused
new york,republican
new york,independent
michigan,democrat
new york,democrat
new york,republican
new york,independent
new york,democrat
new york,democrat
new york,independent
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,republican
new york,democrat
new york,democrat
new york,democrat
new york,other\no preference\dk\refused
new york,democrat
new york,other\no preference\dk\refused
new york,republican
new york,democrat
new york,republican
new york,other\no preference\dk\refused
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,democrat
new york,republican
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,independent
new york,other\no preference\dk\refused
new york,republican
new york,independent
new york,independent
delaware,democrat
new york,republican
new york,republican
new york,independent
new york,republican
new york,independent
new york,republican
new york,republican
new york,democrat
new york,democrat
new york,independent
new york,democrat
new york,independent
new york,independent
new york,democrat
new york,republican
new york,democrat
new york,democrat
new york,republican
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,independent
new york,democrat
new york,independent
new york,independent
new york,republican
new york,independent
new york,democrat
new york,independent
new york,democrat
new york,other\no preference\dk\refused
new york,independent
new york,independent
new york,other\no preference\dk\refused
new york,democrat
new york,independent
new york,independent
new york,democrat
new york,republican
new york,republican
new york,independent
new york,democrat
new york,independent
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,democrat
new york,democrat
new york,independent
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,independent
new york,democrat
new york,independent
new york,democrat
new york,republican
new york,democrat
new york,democrat
new york,democrat
new york,democrat
new york,independent
new york,independent
new york,independent
new york,independent
new york,democrat
new york,democrat
new york,independent
new york,other\no preference\dk\refused
new york,independent
new york,democrat
new york,democrat
